7zip-bin 21.03-1
pulseaudio-alsa 1:1.2.6-2
pulsemixer 1.5.1-3
python-numpy 1.21.5-2
python-pillow 9.0.0-1
python-pip 20.3.4-4
python-pycups 2.0.1-5
python-pycurl 7.44.1-3
python-sphinx 4.4.0-1
python2 2.7.18-5
python2-pip 20.3.4-1
python2-virtualenv 20.7.2-1
q4wine 1.3.13-1
r 4.1.2-2
radeontop 1.4-1
rbenv-git 1.2.0.r8.a76c4aa-1
redshift 1.12-5
refind 0.13.2-1
refind-theme-regular-git r69.898c705-1
reflector 2021.11-2
ripgrep 13.0.0-2
rng-tools-runit 20180314-5
rocm-dev 4.3.1-1
rocm-libs 4.2.0-1
rocm-utils 4.3.0-1
rsync 3.2.3-4
ruby-build-git v20211124-1
ruby-rdoc 6.4.0-2
runit 2.1.2-28
rust-analyzer 20220117-1
rustup 1.24.3-2
samba 4.15.4-1
samba-runit 20211002-1
sane-airscan 0.99.27-1
sc-im 0.8.2-1
seatd 0.6.3-2
sed 4.8-1.1
simple-scan 40.7-1
skim 0.9.4-2
sl 5.02-6
smartmontools 7.2-1
starship 1.2.1-1
steam 1.0.0.74-1
steamos-xpad-dkms 20190810-1
sx 2.1.7-2
sxiv 26-1
tensorflow 2.7.0-4
texinfo 6.8-2
texlab-git r1606.29f99563-1
texlive-bibtexextra 2021.61406-1
texlive-fontsextra 2021.61408-1
texlive-formatsextra 2021.57972-1
texlive-games 2021.60973-1
texlive-humanities 2021.60935-1
texlive-latexextra 2021.61405-1
texlive-music 2021.60382-1
texlive-pictures 2021.61392-1
texlive-pstricks 2021.61407-1
texlive-publishers 2021.61397-1
texlive-science 2021.61383-1
thefuck 3.32-1
tk 8.6.12-1
tmux 3.2_a-1
tree 2.0.1-2
tree-sitter-git 0.20.4.r0.g714bfd47-1
ttf-hack 3.003-3
ttf-joypixels 6.6.0-1
ttf-liberation 2.1.5-1
ttf-symbola 13.00-8
ttf-ubuntu-font-family 0.83-7
ueberzug 18.1.9-3
unclutter 1:1.6-1
unrar 1:6.1.3-1
unzip 6.0-16
upd72020x-fw 20200826-3
vapoursynth-git R57.56.gd5095910-1
vdpauinfo 1.4-1
vicious 2.5.0-1
virtualbox 6.1.32-1
virtualbox-host-dkms 6.1.32-1
vkd3d-proton-tkg-git 1.1.r2528.g1409ebab-1
vulkan-headers-tkg-git 1.2.203.r2.g0873a22-1
vulkan-tools 1.2.203-1
w3m 0.5.3.git20210102_6-1
wd719x-firmware 1-7
wget 1.21.2-1
which 2.21-5.1
wine-tkg-fsync-git 7.0.r119.gc09a5da1575-326
winetricks 20210825-1
wireless_tools 30.pre9-3.1
wkhtmltopdf 0.12.6-1
wpa_supplicant-runit 20180429-3
xclip 0.13-3.1
xdg-user-dirs 0.17-3.2
xdotool 3.20211022.1-1
xf86-input-evdev 2.10.6-3
xorg-bdftopcf 1.1-2.1
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2.1
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-encodings 1.0.5-2.1
xorg-iceauth 1.0.8-2.1
xorg-mkfontscale 1.2.1-2.1
xorg-server 21.1.3-1
xorg-server-common 21.1.3-1
xorg-server-devel 21.1.3-1
xorg-server-xephyr 21.1.3-1
xorg-server-xnest 21.1.3-1
xorg-server-xvfb 21.1.3-1
xorg-sessreg 1.1.2-2.1
xorg-setxkbmap 1.3.2-2.1
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1.1-1
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2.1
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2.1
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2.1
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2.1
xorg-xsetroot 1.1.2-2.1
xorg-xvinfo 1.1.4-2
xorg-xwayland 21.1.4-1
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xournalpp 1.1.0-2
xow-git 1:0.5.r28.ga396e3f-1
xsane 0.999-5
xwallpaper 0.7.3-1
yaml-language-server 1.3.0-1
yarn 1.22.17-1
zathura 0.4.8-1
zathura-cb 0.1.9-1
zathura-djvu 0.2.9-1
zathura-pdf-mupdf 0.3.7-1
zathura-ps 0.2.7-1
zeromq 4.3.4-2
zig-git 0.9.0.r374.g5ba438597-1
zip 3.0-9.2
zls-git r870.fefabc6-1
zramen-runit 0.2.1-1
zsh 5.8-1.1
zsh-autosuggestions 0.7.0-1
zsh-completions 0.33.0-1
zsh-doc 5.8-1.1
zsh-history-substring-search 1.0.2-1
zsh-syntax-highlighting 0.7.1-1
