gnome-keyring 1:40.0-1.2
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnumeric 1.12.51-1
gnupg 2.2.32-2
gnutls 3.7.3-1
go 2:1.17.6-2
gobject-introspection-runtime 1.70.0-5
goffice 0.10.51-1
gpgme 1.16.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1.1
graphviz 2.50.0-2
grep 3.7-1
groff 1.22.4-6
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.19-1.1
gspell 1.8.4-1
gst-plugins-bad-libs 1.18.5-5
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gstreamer 1.18.5-1
gtk-update-icon-cache 1:4.6.0-1.1
gtk2 2.24.33-2
gtk3 1:3.24.31-1
gtk4 1:4.6.0-1.1
gtkmm3 3.24.5-2
gts 0.7.6.121130-2.1
guile 2.2.7-2
guile2.0 2.0.14-6
gumbo-parser 0.10.1-2
gutenprint 5.3.4-1
gvfs 1.48.1-1
gzip 1.11-1
harfbuzz 3.2.0-1
harfbuzz-icu 3.2.0-1
haskell-aeson 1.5.6.0-74
haskell-aeson-pretty 0.8.9-24
haskell-ansi-terminal 0.11-203
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-147
haskell-asn1-parse 0.9.5-147
haskell-asn1-types 0.3.4-126
haskell-assoc 1.0.2-118
haskell-async 2.2.3-104
haskell-attoparsec 0.14.3-2
haskell-base-compat 0.11.2-7
haskell-base-compat-batteries 0.11.2-178
haskell-base-orphans 0.8.5-32
haskell-base16-bytestring 1.0.2.0-3
haskell-base64-bytestring 1.2.1.0-24
haskell-basement 0.0.12-4
haskell-bifunctors 5.5.11-43
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-147
haskell-blaze-markup 0.8.2.8-53
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-126
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.5-9
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-56
haskell-commonmark 0.2.1-32
haskell-commonmark-extensions 0.2.1.2-39
haskell-commonmark-pandoc 0.2.1.1-44
haskell-comonad 5.0.8-122
haskell-conduit 1.3.4.2-23
haskell-conduit-extra 1.3.5-198
haskell-connection 0.3.1-165
haskell-cookie 0.4.5-12
haskell-cryptonite 0.29-40
haskell-data-default 0.7.1.1-189
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-202
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-25
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-125
haskell-dlist 1.0-125
haskell-doclayout 0.3.0.2-50
haskell-doctemplates 0.10.0.1-24
haskell-emojis 0.1-134
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.14.0-4
haskell-ghc-bignum-orphans 0.1-2
haskell-glob 0.10.2-13
haskell-haddock-library 1.10.0-89
haskell-hashable 1.3.5.0-3
haskell-hourglass 0.2.12-169
haskell-hslua 1.3.0.1-91
haskell-hslua-module-path 0.1.0.1-76
haskell-hslua-module-system 0.2.2.1-147
